NCBIassemblyID	RAWassemblyID
CM024953.1	chr01
CM024954.1	chr02
CM024955.1	chr03
CM024956.1	chr04
CM024957.1	chr05
CM024958.1	chr06
CM024959.1	chr07
CM024960.1	chr08
CM024961.1	chr09
CM024962.1	chr10
CM024963.1	chr11
CM024964.1	chr12
CM024965.1	chr13
WJXA01000091.1	ctg100
WJXA01000092.1	ctg101
WJXA01000093.1	ctg104
WJXA01000094.1	ctg105
WJXA01000095.1	ctg106
WJXA01000096.1	ctg107
WJXA01000097.1	ctg108
WJXA01000098.1	ctg109
WJXA01000099.1	ctg110
WJXA01000100.1	ctg113
WJXA01000101.1	ctg114
WJXA01000102.1	ctg115
WJXA01000103.1	ctg116
WJXA01000104.1	ctg119
WJXA01000105.1	ctg120
WJXA01000106.1	ctg121
WJXA01000107.1	ctg122
WJXA01000108.1	ctg123
WJXA01000109.1	ctg124
WJXA01000110.1	ctg125
WJXA01000111.1	ctg126
WJXA01000112.1	ctg127
WJXA01000113.1	ctg128
WJXA01000114.1	ctg129
WJXA01000115.1	ctg130
WJXA01000116.1	ctg131
WJXA01000117.1	ctg132
WJXA01000118.1	ctg133
WJXA01000119.1	ctg134
WJXA01000120.1	ctg135
WJXA01000121.1	ctg136
WJXA01000122.1	ctg137
WJXA01000123.1	ctg138
WJXA01000124.1	ctg139
WJXA01000016.1	ctg14
WJXA01000125.1	ctg140
WJXA01000126.1	ctg141
WJXA01000127.1	ctg142
WJXA01000128.1	ctg143
WJXA01000129.1	ctg145
WJXA01000130.1	ctg146
WJXA01000131.1	ctg147
WJXA01000132.1	ctg148
WJXA01000133.1	ctg149
WJXA01000017.1	ctg15
WJXA01000134.1	ctg150
WJXA01000135.1	ctg151
WJXA01000136.1	ctg152
WJXA01000137.1	ctg153
WJXA01000138.1	ctg154
WJXA01000139.1	ctg155
WJXA01000140.1	ctg157
WJXA01000141.1	ctg158
WJXA01000142.1	ctg159
WJXA01000018.1	ctg16
WJXA01000143.1	ctg160
WJXA01000144.1	ctg161
WJXA01000145.1	ctg162
WJXA01000146.1	ctg164
WJXA01000147.1	ctg165
WJXA01000148.1	ctg167
WJXA01000149.1	ctg168
WJXA01000150.1	ctg169
WJXA01000019.1	ctg17
WJXA01000151.1	ctg170
WJXA01000152.1	ctg171
WJXA01000153.1	ctg172
WJXA01000154.1	ctg173
WJXA01000155.1	ctg174
WJXA01000156.1	ctg175
WJXA01000157.1	ctg176
WJXA01000158.1	ctg177
WJXA01000159.1	ctg178
WJXA01000160.1	ctg179
WJXA01000020.1	ctg18
WJXA01000161.1	ctg180
WJXA01000162.1	ctg181
WJXA01000163.1	ctg183
WJXA01000164.1	ctg184
WJXA01000165.1	ctg185
WJXA01000166.1	ctg187
WJXA01000167.1	ctg188
WJXA01000168.1	ctg190
WJXA01000169.1	ctg191
WJXA01000170.1	ctg192
WJXA01000171.1	ctg193
WJXA01000172.1	ctg194
WJXA01000173.1	ctg195
WJXA01000174.1	ctg196
WJXA01000175.1	ctg197
WJXA01000176.1	ctg198
WJXA01000177.1	ctg199
WJXA01000021.1	ctg20
WJXA01000178.1	ctg200
WJXA01000179.1	ctg201
WJXA01000180.1	ctg205
WJXA01000181.1	ctg206
WJXA01000182.1	ctg207
WJXA01000183.1	ctg208
WJXA01000184.1	ctg209
WJXA01000022.1	ctg21
WJXA01000185.1	ctg210
WJXA01000186.1	ctg211
WJXA01000187.1	ctg212
WJXA01000188.1	ctg213
WJXA01000189.1	ctg214
WJXA01000190.1	ctg216
WJXA01000191.1	ctg217
WJXA01000192.1	ctg218
WJXA01000193.1	ctg219
WJXA01000194.1	ctg220
WJXA01000195.1	ctg221
WJXA01000196.1	ctg222
WJXA01000197.1	ctg223
WJXA01000198.1	ctg224
WJXA01000199.1	ctg225
WJXA01000200.1	ctg226
WJXA01000201.1	ctg227
WJXA01000202.1	ctg228
WJXA01000203.1	ctg229
WJXA01000023.1	ctg23
WJXA01000204.1	ctg230
WJXA01000205.1	ctg231
WJXA01000206.1	ctg232
WJXA01000207.1	ctg233
WJXA01000208.1	ctg234
WJXA01000209.1	ctg235
WJXA01000210.1	ctg236
WJXA01000211.1	ctg238
WJXA01000212.1	ctg239
WJXA01000213.1	ctg240
WJXA01000214.1	ctg241
WJXA01000215.1	ctg242
WJXA01000216.1	ctg243
WJXA01000217.1	ctg246
WJXA01000218.1	ctg247
WJXA01000219.1	ctg248
WJXA01000024.1	ctg25
WJXA01000220.1	ctg250
WJXA01000221.1	ctg251
WJXA01000222.1	ctg252
WJXA01000223.1	ctg253
WJXA01000224.1	ctg254
WJXA01000225.1	ctg256
WJXA01000226.1	ctg257
WJXA01000227.1	ctg258
WJXA01000228.1	ctg259
WJXA01000025.1	ctg26
WJXA01000229.1	ctg260
WJXA01000230.1	ctg261
WJXA01000231.1	ctg262
WJXA01000232.1	ctg263
WJXA01000233.1	ctg264
WJXA01000234.1	ctg265
WJXA01000235.1	ctg266
WJXA01000236.1	ctg267
WJXA01000237.1	ctg268
WJXA01000026.1	ctg27
WJXA01000238.1	ctg270
WJXA01000239.1	ctg271
WJXA01000240.1	ctg272
WJXA01000241.1	ctg273
WJXA01000242.1	ctg274
WJXA01000243.1	ctg275
WJXA01000244.1	ctg276
WJXA01000245.1	ctg277
WJXA01000246.1	ctg278
WJXA01000247.1	ctg279
WJXA01000027.1	ctg28
WJXA01000248.1	ctg280
WJXA01000249.1	ctg281
WJXA01000250.1	ctg282
WJXA01000251.1	ctg283
WJXA01000252.1	ctg284
WJXA01000253.1	ctg285
WJXA01000254.1	ctg286
WJXA01000255.1	ctg287
WJXA01000256.1	ctg288
WJXA01000257.1	ctg289
WJXA01000028.1	ctg29
WJXA01000258.1	ctg290
WJXA01000259.1	ctg291
WJXA01000260.1	ctg292
WJXA01000261.1	ctg293
WJXA01000262.1	ctg294
WJXA01000263.1	ctg295
WJXA01000264.1	ctg296
WJXA01000265.1	ctg297
WJXA01000266.1	ctg298
WJXA01000267.1	ctg299
WJXA01000029.1	ctg30
WJXA01000268.1	ctg300
WJXA01000269.1	ctg301
WJXA01000270.1	ctg302
WJXA01000271.1	ctg303
WJXA01000272.1	ctg304
WJXA01000273.1	ctg305
WJXA01000274.1	ctg306
WJXA01000275.1	ctg307
WJXA01000276.1	ctg308
WJXA01000277.1	ctg309
WJXA01000278.1	ctg310
WJXA01000279.1	ctg311
WJXA01000280.1	ctg312
WJXA01000281.1	ctg314
WJXA01000282.1	ctg316
WJXA01000283.1	ctg317
WJXA01000284.1	ctg318
WJXA01000030.1	ctg32
WJXA01000285.1	ctg321
WJXA01000286.1	ctg322
WJXA01000287.1	ctg324
WJXA01000288.1	ctg325
WJXA01000289.1	ctg326
WJXA01000290.1	ctg327
WJXA01000291.1	ctg328
WJXA01000292.1	ctg329
WJXA01000293.1	ctg330
WJXA01000294.1	ctg331
WJXA01000295.1	ctg332
WJXA01000296.1	ctg333
WJXA01000297.1	ctg334
WJXA01000298.1	ctg335
WJXA01000299.1	ctg336
WJXA01000300.1	ctg337
WJXA01000301.1	ctg338
WJXA01000302.1	ctg339
WJXA01000031.1	ctg34
WJXA01000303.1	ctg340
WJXA01000304.1	ctg341
WJXA01000305.1	ctg342
WJXA01000306.1	ctg343
WJXA01000307.1	ctg344
WJXA01000308.1	ctg345
WJXA01000309.1	ctg346
WJXA01000310.1	ctg347
WJXA01000311.1	ctg349
WJXA01000032.1	ctg35
WJXA01000312.1	ctg350
WJXA01000313.1	ctg351
WJXA01000314.1	ctg353
WJXA01000315.1	ctg354
WJXA01000316.1	ctg356
WJXA01000317.1	ctg357
WJXA01000318.1	ctg358
WJXA01000319.1	ctg359
WJXA01000033.1	ctg36
WJXA01000320.1	ctg360
WJXA01000321.1	ctg361
WJXA01000322.1	ctg362
WJXA01000323.1	ctg363
WJXA01000324.1	ctg364
WJXA01000325.1	ctg365
WJXA01000326.1	ctg366
WJXA01000327.1	ctg367
WJXA01000328.1	ctg368
WJXA01000329.1	ctg369
WJXA01000034.1	ctg37
WJXA01000330.1	ctg370
WJXA01000331.1	ctg371
WJXA01000332.1	ctg372
WJXA01000333.1	ctg373
WJXA01000334.1	ctg374
WJXA01000335.1	ctg375
WJXA01000336.1	ctg376
WJXA01000337.1	ctg377
WJXA01000338.1	ctg378
WJXA01000339.1	ctg379
WJXA01000035.1	ctg38
WJXA01000340.1	ctg380
WJXA01000341.1	ctg382
WJXA01000342.1	ctg383
WJXA01000343.1	ctg384
WJXA01000344.1	ctg385
WJXA01000345.1	ctg386
WJXA01000346.1	ctg387
WJXA01000347.1	ctg388
WJXA01000348.1	ctg389
WJXA01000036.1	ctg39
WJXA01000349.1	ctg390
WJXA01000350.1	ctg391
WJXA01000351.1	ctg392
WJXA01000352.1	ctg393
WJXA01000353.1	ctg394
WJXA01000354.1	ctg396
WJXA01000355.1	ctg397
WJXA01000356.1	ctg399
WJXA01000037.1	ctg40
WJXA01000357.1	ctg400
WJXA01000358.1	ctg401
WJXA01000359.1	ctg402
WJXA01000360.1	ctg403
WJXA01000361.1	ctg404
WJXA01000362.1	ctg405
WJXA01000363.1	ctg406
WJXA01000364.1	ctg407
WJXA01000365.1	ctg408
WJXA01000366.1	ctg409
WJXA01000038.1	ctg41
WJXA01000367.1	ctg410
WJXA01000368.1	ctg412
WJXA01000369.1	ctg413
WJXA01000370.1	ctg414
WJXA01000371.1	ctg416
WJXA01000372.1	ctg417
WJXA01000373.1	ctg418
WJXA01000374.1	ctg419
WJXA01000039.1	ctg42
WJXA01000375.1	ctg421
WJXA01000376.1	ctg422
WJXA01000377.1	ctg423
WJXA01000378.1	ctg424
WJXA01000379.1	ctg425
WJXA01000380.1	ctg426
WJXA01000381.1	ctg427
WJXA01000382.1	ctg428
WJXA01000383.1	ctg429
WJXA01000040.1	ctg43
WJXA01000384.1	ctg431
WJXA01000385.1	ctg433
WJXA01000386.1	ctg434
WJXA01000387.1	ctg436
WJXA01000388.1	ctg437
WJXA01000389.1	ctg438
WJXA01000390.1	ctg439
WJXA01000041.1	ctg44
WJXA01000391.1	ctg440
WJXA01000392.1	ctg441
WJXA01000393.1	ctg443
WJXA01000394.1	ctg444
WJXA01000395.1	ctg445
WJXA01000396.1	ctg446
WJXA01000397.1	ctg447
WJXA01000398.1	ctg448
WJXA01000399.1	ctg449
WJXA01000042.1	ctg45
WJXA01000400.1	ctg450
WJXA01000401.1	ctg451
WJXA01000402.1	ctg452
WJXA01000403.1	ctg453
WJXA01000404.1	ctg454
WJXA01000405.1	ctg455
WJXA01000406.1	ctg456
WJXA01000407.1	ctg457
WJXA01000408.1	ctg458
WJXA01000409.1	ctg459
WJXA01000043.1	ctg46
WJXA01000410.1	ctg460
WJXA01000411.1	ctg463
WJXA01000412.1	ctg464
WJXA01000413.1	ctg465
WJXA01000414.1	ctg466
WJXA01000415.1	ctg467
WJXA01000416.1	ctg468
WJXA01000417.1	ctg469
WJXA01000044.1	ctg47
WJXA01000418.1	ctg470
WJXA01000419.1	ctg471
WJXA01000420.1	ctg472
WJXA01000421.1	ctg473
WJXA01000422.1	ctg474
WJXA01000423.1	ctg475
WJXA01000424.1	ctg476
WJXA01000425.1	ctg478
WJXA01000426.1	ctg479
WJXA01000427.1	ctg480
WJXA01000428.1	ctg481
WJXA01000429.1	ctg482
WJXA01000430.1	ctg484
WJXA01000431.1	ctg485
WJXA01000432.1	ctg486
WJXA01000433.1	ctg487
WJXA01000434.1	ctg488
WJXA01000435.1	ctg489
WJXA01000436.1	ctg490
WJXA01000437.1	ctg491
WJXA01000438.1	ctg492
WJXA01000439.1	ctg493
WJXA01000440.1	ctg494
WJXA01000441.1	ctg495
WJXA01000442.1	ctg496
WJXA01000443.1	ctg497
WJXA01000444.1	ctg498
WJXA01000445.1	ctg499
WJXA01000045.1	ctg50
WJXA01000446.1	ctg500
WJXA01000447.1	ctg501
WJXA01000448.1	ctg502
WJXA01000449.1	ctg504
WJXA01000450.1	ctg505
WJXA01000451.1	ctg506
WJXA01000452.1	ctg507
WJXA01000453.1	ctg509
WJXA01000046.1	ctg51
WJXA01000454.1	ctg510
WJXA01000455.1	ctg511
WJXA01000456.1	ctg513
WJXA01000457.1	ctg514
WJXA01000458.1	ctg515
WJXA01000459.1	ctg516
WJXA01000460.1	ctg517
WJXA01000461.1	ctg518
WJXA01000462.1	ctg519
WJXA01000047.1	ctg52
WJXA01000463.1	ctg520
WJXA01000464.1	ctg521
WJXA01000465.1	ctg523
WJXA01000466.1	ctg524
WJXA01000467.1	ctg525
WJXA01000468.1	ctg527
WJXA01000469.1	ctg528
WJXA01000470.1	ctg529
WJXA01000048.1	ctg53
WJXA01000471.1	ctg530
WJXA01000472.1	ctg531
WJXA01000473.1	ctg532
WJXA01000474.1	ctg533
WJXA01000475.1	ctg534
